Column1,Column2,Column3,AVG_acc,AVG_loss,interval_acc,interval_loss
0,0,10,0.01,4.605163097,0.00684182,8.43E-05
1,2,10,0.00994,4.605162334,0.007298068,8.52E-05
2,4,10,0.01002,4.605161762,0.007023479,8.76E-05
3,6,10,0.01024,4.605160999,0.006395759,8.60E-05
4,8,10,0.01028,4.605159855,0.006249186,8.81E-05
5,10,10,0.01046,4.605158901,0.0055611,8.84E-05
6,12,10,0.0107,4.605157471,0.005747062,9.06E-05
7,14,10,0.0109,4.605156326,0.005642752,8.96E-05
8,16,10,0.01096,4.605154324,0.005555755,9.21E-05
9,18,10,0.01094,4.605152893,0.005464115,9.39E-05
10,20,10,0.01098,4.605150986,0.005650117,9.64E-05
11,22,10,0.01112,4.605149174,0.005886969,9.93E-05
12,24,10,0.01124,4.605147171,0.006197641,0.000100142
13,26,10,0.01118,4.605145645,0.005836298,0.000104556
14,28,10,0.01126,4.605143642,0.006409675,0.000103998
15,30,10,0.01124,4.60514164,0.006135022,0.000105132
16,32,10,0.01112,4.605139732,0.005733609,0.000107577
17,34,10,0.0113,4.605137634,0.00602954,0.000111889
18,36,10,0.01114,4.605135918,0.005703484,0.000112253
19,38,10,0.01114,4.60513382,0.005661669,0.000112539
20,40,10,0.01126,4.605131912,0.005698275,0.000113987
21,42,10,0.0113,4.605129814,0.005345412,0.000116257
22,44,10,0.01144,4.605127907,0.005420453,0.000118375
23,46,10,0.0114,4.605125332,0.004929129,0.000120046
24,48,10,0.0114,4.605123806,0.004831755,0.000121873
25,50,10,0.01136,4.605121231,0.005281686,0.000123556
26,52,10,0.01144,4.605119324,0.005098556,0.000126777
27,54,10,0.01142,4.605117416,0.005424835,0.000128765
28,56,10,0.01164,4.605115509,0.005963166,0.000129533
29,58,10,0.0118,4.60511322,0.006223467,0.000131901
30,60,10,0.01178,4.605111122,0.005790313,0.000134282
31,62,10,0.01178,4.605109501,0.005780045,0.000136362
32,64,10,0.01188,4.605106544,0.006239673,0.000138284
33,66,10,0.01176,4.605105019,0.005816926,0.000141207
34,68,10,0.01172,4.605102921,0.005702443,0.000141861
35,70,10,0.0117,4.605100822,0.005283936,0.0001422
36,72,10,0.01158,4.605099487,0.00522401,0.000144457
37,74,10,0.01164,4.605097485,0.004902543,0.000147459
38,76,10,0.01158,4.605096054,0.005754294,0.000147001
39,78,10,0.01152,4.605093575,0.00535873,0.000150446
40,80,10,0.01142,4.605091953,0.005038785,0.000151556
41,82,10,0.01146,4.605090523,0.005057612,0.000153209
42,84,10,0.0115,4.605089188,0.005295165,0.000154204
43,86,10,0.01162,4.605087662,0.005522509,0.000156915
44,88,10,0.01172,4.60508604,0.005319789,0.000159117
45,90,10,0.0119,4.605084324,0.005563234,0.000160304
46,92,10,0.0119,4.605083084,0.006213914,0.000162588
47,94,10,0.012,4.605081367,0.005829168,0.000164862
48,96,10,0.01188,4.605079174,0.005506351,0.000167053
49,98,10,0.01192,4.605077457,0.005479313,0.000167914
50,100,10,0.01202,4.605076694,0.006843556,0.000169371
0,0,30,0.00996,4.605170822,0.00707908,7.69E-05
1,2,30,0.0099,4.605170631,0.007155866,7.69E-05
2,4,30,0.01002,4.605170059,0.007430361,7.72E-05
3,6,30,0.00994,4.60516901,0.007546182,7.75E-05
4,8,30,0.00998,4.60516777,0.007678067,7.89E-05
5,10,30,0.01,4.605166721,0.007412751,7.65E-05
6,12,30,0.01018,4.605165672,0.007345935,7.69E-05
7,14,30,0.01022,4.605164051,0.007289109,7.67E-05
8,16,30,0.01038,4.60516243,0.007268706,7.63E-05
9,18,30,0.01046,4.605160809,0.007261347,7.52E-05
10,20,30,0.01046,4.605158806,0.006349149,7.60E-05
11,22,30,0.01058,4.605157757,0.006277638,7.55E-05
12,24,30,0.01066,4.605155945,0.005988019,7.57E-05
13,26,30,0.0107,4.605154228,0.006549032,7.61E-05
14,28,30,0.01076,4.605152225,0.006478812,7.67E-05
15,30,30,0.0108,4.60515089,0.006872142,7.74E-05
16,32,30,0.01088,4.605148983,0.006908352,7.79E-05
17,34,30,0.0109,4.605147076,0.007155865,7.92E-05
18,36,30,0.01082,4.605144501,0.006573478,8.03E-05
19,38,30,0.01088,4.605142593,0.006681041,8.12E-05
20,40,30,0.01094,4.605140686,0.007045433,8.33E-05
21,42,30,0.01086,4.60513916,0.006668582,8.44E-05
22,44,30,0.01082,4.605137539,0.005841385,8.58E-05
23,46,30,0.0109,4.605135632,0.005637486,8.56E-05
24,48,30,0.01088,4.605133438,0.005815905,8.50E-05
25,50,30,0.01088,4.605131626,0.005618486,8.50E-05
26,52,30,0.01086,4.605129528,0.005354293,8.60E-05
27,54,30,0.01092,4.605127716,0.005977096,8.73E-05
28,56,30,0.0109,4.605125618,0.005632215,8.86E-05
29,58,30,0.01086,4.605123711,0.005431401,8.85E-05
30,60,30,0.01076,4.605122375,0.005453232,9.07E-05
31,62,30,0.01084,4.605120468,0.005608962,9.02E-05
32,64,30,0.0108,4.60511837,0.005552547,9.09E-05
33,66,30,0.01074,4.605116558,0.005485815,9.19E-05
34,68,30,0.01078,4.605114841,0.005408385,9.30E-05
35,70,30,0.01078,4.605113411,0.005347634,9.45E-05
36,72,30,0.01084,4.605111408,0.005550407,9.54E-05
37,74,30,0.01084,4.605109406,0.005908122,9.58E-05
38,76,30,0.01082,4.605107403,0.005897052,9.64E-05
39,78,30,0.0109,4.605105686,0.006004861,9.56E-05
40,80,30,0.01096,4.605104446,0.006646275,9.64E-05
41,82,30,0.01098,4.605103207,0.006821822,9.92E-05
42,84,30,0.01096,4.605101299,0.006712974,9.82E-05
43,86,30,0.01104,4.605099964,0.006349148,0.000100398
44,88,30,0.01102,4.605097866,0.005856619,9.83E-05
45,90,30,0.01108,4.605096245,0.005607904,9.98E-05
46,92,30,0.01122,4.605094433,0.006001892,9.93E-05
47,94,30,0.01124,4.605093384,0.006381812,0.000101912
48,96,30,0.0112,4.605092144,0.005935208,0.000101033
49,98,30,0.01128,4.605090427,0.005764609,0.000102961
50,100,30,0.01122,4.605088806,0.00535873,0.000104205
0,0,50,0.01022,4.605177402,0.003038324,4.61E-05
1,2,50,0.01028,4.605177307,0.00293894,4.55E-05
2,4,50,0.01032,4.60517683,0.002867323,4.59E-05
3,6,50,0.01038,4.605176449,0.002959084,4.45E-05
4,8,50,0.0103,4.605174828,0.002800242,4.35E-05
5,10,50,0.01036,4.605173492,0.002951043,4.39E-05
6,12,50,0.01038,4.605172443,0.002938941,4.46E-05
7,14,50,0.01052,4.605171299,0.00284653,4.43E-05
8,16,50,0.01062,4.605169487,0.002979091,4.51E-05
9,18,50,0.01048,4.605168056,0.002740199,4.38E-05
10,20,50,0.01052,4.605166435,0.002969104,4.18E-05
11,22,50,0.01044,4.605164814,0.002665473,4.23E-05
12,24,50,0.0105,4.605163002,0.002273361,4.43E-05
13,26,50,0.01052,4.605161381,0.002442168,4.42E-05
14,28,50,0.01056,4.605159283,0.002492726,4.37E-05
15,30,50,0.01062,4.605157185,0.002989045,4.54E-05
16,32,50,0.01062,4.605155849,0.002751017,4.60E-05
17,34,50,0.0105,4.605153561,0.002590882,4.59E-05
18,36,50,0.01056,4.605151081,0.002345385,4.70E-05
19,38,50,0.01056,4.605149269,0.002407872,4.74E-05
20,40,50,0.0106,4.605147552,0.00240046,5.03E-05
