Round,NoiseMultiplier,AVG_accuracy,AVG_loss,interval_accuracy,interval_loss,,,,,,,,,,
0,0,0.093994907,2.677623558,0.019778407,0.163534272,,,,,,,,,,
2,0,0.10583366,2.351634026,0.039976371,0.02485713,,,,,,,,,,
4,0,0.11164773,2.295493507,0.060258831,0.017602492,,,,,,,,próbki,5,
6,0,0.158841106,2.276549339,0.01718549,0.024240296,,,,,,,,rozkład,2.776,dla 95%
8,0,0.188616768,2.208300161,0.020846344,0.098908033,,,,,,,,,,
10,0,0.22491183,2.19623785,0.037774532,0.029232267,,,,,,,,,,
12,0,0.283077002,2.138236237,0.018146877,0.022212696,,,,,,,,,,
14,0,0.372408894,2.083379793,0.02860203,0.033948947,,,,,,,,,,
16,0,0.322678292,2.043105221,0.027939964,0.029820752,,,,,,,,,,
18,0,0.34330917,1.972042513,0.029572337,0.040916434,,,,,,,,,,
20,0,0.444048786,1.897891402,0.018389357,0.036537782,,,,,,,,,,
22,0,0.446316615,1.835219836,0.04998933,0.085120162,,,,,,,,,,
24,0,0.486020777,1.768642879,0.053363802,0.099500133,,,,,,,,,,
26,0,0.449471009,1.702984309,0.050634303,0.111863187,,,,,,,,,,
28,0,0.49457289,1.647644329,0.041099327,0.125693461,,,,,,,,,,
30,0,0.545302719,1.543573117,0.037148627,0.082322004,,,,,,,,,,
32,0,0.491217667,1.546214151,0.034236528,0.080878237,,,,,,,,,,
34,0,0.606886768,1.35422833,0.019001385,0.077573706,,,,,,,,,,
36,0,0.475930643,1.501896167,0.041891369,0.132928568,,,,,,,,,,
38,0,0.561539966,1.345429993,0.032798501,0.066557027,,,,,,,,,,
40,0,0.601528215,1.252580857,0.018969764,0.076967874,,,,,,,,,,
42,0,0.512230605,1.48018527,0.054306823,0.153683114,,,,,,,,,,
44,0,0.610589731,1.193618536,0.015383769,0.054925666,,,,,,,,,,
46,0,0.469112474,1.464863133,0.037785664,0.159146073,,,,,,,,,,
48,0,0.606651652,1.243504095,0.018820296,0.057499899,,,,,,,,,,
50,0,0.625504506,1.140154493,0.018714132,0.064282203,,,,,,,,,,
52,0,0.530931634,1.340046191,0.034965348,0.121174757,,,,,,,,,,
54,0,0.549843252,1.356536341,0.064601083,0.163737447,,,,,,,,,,
56,0,0.642892826,1.09295187,0.016018073,0.076553593,,,,,,,,,,
58,0,0.614503336,1.139067125,0.023479703,0.101122514,,,,,,,,,,
60,0,0.599568969,1.228542268,0.036752679,0.105911918,,,,,,,,,,
62,0,0.631896544,1.106679893,0.025986565,0.106436279,,,,,,,,,,
64,0,0.576381248,1.259183991,0.042015221,0.127878814,,,,,,,,,,
66,0,0.656323469,1.076365018,0.021430784,0.107857041,,,,,,,,,,
68,0,0.627267838,1.128848279,0.029369388,0.129039375,,,,,,,,,,
70,0,0.65007838,1.103560305,0.03810791,0.121264071,,,,,,,,,,
72,0,0.673863637,1.015185928,0.020512753,0.107129369,,,,,,,,,,
74,0,0.677081704,0.963859832,0.020899728,0.08622699,,,,,,,,,,
76,0,0.657234526,1.056734228,0.029209322,0.142270557,,,,,,,,,,
78,0,0.706945539,0.889138126,0.013642299,0.063782503,,,,,,,,,,
80,0,0.615159678,1.1798383,0.020000611,0.08844709,,,,,,,,,,
82,0,0.69142338,0.962251759,0.012249963,0.075468381,,,,,,,,,,
84,0,0.62118926,1.137776327,0.024938787,0.137778315,,,,,,,,,,
86,0,0.706965125,0.89368149,0.013383381,0.070013059,,,,,,,,,,
88,0,0.675431025,0.982949388,0.085778079,0.043329146,,,,,,,,,,
90,0,0.691731966,0.923928511,0.019897037,0.087171455,,,,,,,,,,
92,0,0.691114819,0.946894586,0.016992706,0.084805122,,,,,,,,,,
94,0,0.677458858,1.048244226,0.030429438,0.129648599,,,,,,,,,,
96,0,0.713484526,0.911577129,0.080731003,0.047391723,,,,,,,,,,
98,0,0.625602466,1.178807497,0.042231623,0.135706816,,,,,,,,,,
100,0,0.712730217,0.875654078,0.012766464,0.05370731,,,,,,,,,,
