,Round,NoiseMultiplier,AVG_accuracy,AVG_loss,interval_accuracy,interval_loss
0,0,0,0.100460424,2.609596395,0.026999276,0.019445707
1,2,0,0.146419474,2.344945669,0.019150857,0.08647004
2,4,0,0.15070533,2.291559601,0.027472009,0.094355242
3,6,0,0.134899098,2.276395512,0.019845304,0.064414904
4,8,0,0.23895964,2.203512907,0.020127654,0.039508913
5,10,0,0.224916732,2.171031618,0.028878627,0.039193606
6,12,0,0.333552116,2.118004227,0.028491969,0.097424773
7,14,0,0.389699256,2.055189037,0.029059058,0.066929246
8,16,0,0.440086216,1.995054054,0.064608069,0.022904353
9,18,0,0.488283694,1.920889306,0.047431594,0.024422015
10,20,0,0.506215721,1.842866373,0.049846018,0.030940407
11,22,0,0.579290748,1.75284481,0.037379921,0.036615777
12,24,0,0.563744128,1.671903348,0.030170208,0.039902402
13,26,0,0.593686318,1.582389855,0.02778111,0.038233275
14,28,0,0.635614216,1.489081311,0.023160108,0.041651136
15,30,0,0.614567006,1.444799209,0.027690844,0.039856012
16,32,0,0.654114425,1.338585019,0.023491096,0.025393173
17,34,0,0.645812106,1.280794883,0.021711161,0.047649171
18,36,0,0.648168111,1.259155393,0.02578369,0.029563224
19,38,0,0.674363244,1.16392982,0.057925679,0.029721743
20,40,0,0.669504309,1.127042723,0.033187583,0.050329367
21,42,0,0.709134984,1.037984705,0.058082749,0.018005678
22,44,0,0.659090912,1.105688405,0.020069331,0.041395692
23,46,0,0.738739228,0.920425057,0.070589045,0.020957366
24,48,0,0.718847942,0.936865938,0.017672493,0.036887784
25,50,0,0.695758235,1.000764108,0.03310165,0.095655741
26,52,0,0.729202592,0.892412019,0.073720355,0.025439084
27,54,0,0.71720711,0.884240878,0.025693293,0.049776816
28,56,0,0.725989413,0.879598212,0.018513567,0.04995293
29,58,0,0.737064075,0.844432986,0.088135071,0.031668261
30,60,0,0.759139895,0.782826984,0.050417457,0.023501415
31,62,0,0.75114615,0.798080051,0.057028151,0.022760306
32,64,0,0.753751957,0.788540816,0.070798963,0.03736781
33,66,0,0.760261571,0.770417356,0.017292582,0.052583239
34,68,0,0.756803501,0.776666188,0.017600681,0.051014645
35,70,0,0.754408324,0.776328456,0.038310582,0.017256229
36,72,0,0.762784088,0.758108211,0.047176333,0.026770292
