Round,NoiseMultiplier,AVG_accuracy,AVG_loss,interval_accuracy,interval_loss
0,0,0.110952197,2.696743631,0.07992457,0.142739673
2,0,0.125930642,2.333395576,0.078225597,0.097274976
4,0,0.183194552,2.283797503,0.038063545,0.134522302
6,0,0.164772727,2.247821426,0.027760459,0.077001457
8,0,0.210477075,2.205133867,0.029566471,0.105118306
10,0,0.273393419,2.157257652,0.043520958,0.148765666
12,0,0.280725902,2.109887838,0.031748889,0.174384456
14,0,0.403722572,2.045740819,0.040078424,0.037072188
16,0,0.483674568,1.981748009,0.030203558,0.04335738
18,0,0.511079544,1.906986094,0.030717967,0.055133255
20,0,0.53508032,1.831760049,0.029694374,0.057704671
22,0,0.581220615,1.744227934,0.040836423,0.066914131
24,0,0.620910072,1.659731913,0.028795097,0.066825774
26,0,0.641158903,1.559678793,0.018639393,0.074914782
28,0,0.637935936,1.485287285,0.01735249,0.060966223
30,0,0.660428083,1.401849461,0.017265277,0.061777688
32,0,0.687142432,1.30218823,0.08897711,0.066072519
34,0,0.678100502,1.243614388,0.019785982,0.051102073
36,0,0.695518208,1.180185151,0.014711997,0.055427723
38,0,0.694318187,1.131441188,0.017846924,0.062174814
40,0,0.694577765,1.08237642,0.04841414,0.196396829
42,0,0.700631857,1.032706916,0.021128245,0.061141895
44,0,0.721488059,0.973657501,0.015754593,0.050355278
46,0,0.711804473,0.965031898,0.077999934,0.044302621
48,0,0.71787324,0.933037722,0.070886122,0.037695157
50,0,0.727953577,0.900127733,0.090969736,0.040655345
52,0,0.745567214,0.841143417,0.053605338,0.160813804
54,0,0.740375209,0.843210745,0.068219663,0.036265189
56,0,0.751949441,0.804385281,0.05667162,0.169578676
58,0,0.75570631,0.78679471,0.04668805,0.145311155
60,0,0.760006857,0.771658611,0.069196761,0.184240307
62,0,0.774573874,0.733060086,0.045643249,0.146294258
64,0,0.761657524,0.756898475,0.071148473,0.17173184
66,0,0.7693084,0.73789258,0.064789734,0.178849344
68,0,0.780294871,0.708914518,0.030507907,0.097460785
70,0,0.780936515,0.69948802,0.036826998,0.093670539
72,0,0.771390092,0.724394631,0.056628228,0.1696906
74,0,0.789116371,0.67473352,0.030898521,0.101369594
76,0,0.7916291,0.664025724,0.018620391,0.040884383
78,0,0.78605994,0.67986052,0.014358452,0.037893963
80,0,0.7955917,0.651615441,0.031780168,0.106053449
82,0,0.797487283,0.642688918,0.045814352,0.098161236
84,0,0.792657721,0.66351341,0.025500758,0.082984625
86,0,0.798398304,0.642221498,0.040668837,0.12541407
88,0,0.801792705,0.629827499,0.016060092,0.041438498
