Column1,Column2,Column3,AVG_accuracy,AVG_loss,interval_accuracy,interval_loss
0,0,0.5,0.08815635,2.470526695,0.040138839,0.294625793
1,2,0.5,0.155069552,2.316743755,0.122682291,0.099946247
2,4,0.5,0.185413402,2.259469604,0.179881759,0.05112715
3,6,0.5,0.185374218,2.248855639,0.191460605,0.097441832
4,8,0.5,0.270743531,2.173881388,0.142034276,0.077932538
5,10,0.5,0.358434558,2.129668427,0.213656462,0.106746265
6,12,0.5,0.37588166,2.06555171,0.12415485,0.120505982
7,14,0.5,0.38212676,2.001480699,0.235660975,0.16276216
8,16,0.5,0.507126772,1.913255048,0.10808475,0.161902102
9,18,0.5,0.512353051,1.834919596,0.172222877,0.204366551
10,20,0.5,0.560183191,1.735675168,0.126087468,0.236348102
11,22,0.5,0.582229626,1.638014817,0.143169442,0.260536385
12,24,0.5,0.632219827,1.531958294,0.08570509,0.306829644
13,26,0.5,0.623016262,1.458130956,0.123494869,0.283742118
14,28,0.5,0.628737271,1.379137206,0.102660214,0.259289732
15,30,0.5,0.65868926,1.28330636,0.101635877,0.301627171
16,32,0.5,0.647981977,1.254506564,0.187573382,0.334941085
17,34,0.5,0.677595997,1.157218552,0.07681755,0.195349764
18,36,0.5,0.642030776,1.171404552,0.091676636,0.293315458
19,38,0.5,0.678296435,1.093655705,0.106031433,0.210653461
20,40,0.5,0.707141459,0.992333961,0.063723113,0.180882851
21,42,0.5,0.67772336,1.03174969,0.100654112,0.206670483
22,44,0.5,0.705956101,0.969247317,0.10126067,0.300068753
23,46,0.5,0.682494128,0.995476067,0.171418315,0.353438065
24,48,0.5,0.717094445,0.908294642,0.078783103,0.215104364
25,50,0.5,0.716893613,0.887921858,0.148638777,0.357595752
26,52,0.5,0.739929473,0.837038398,0.093270859,0.221608371
27,54,0.5,0.735952199,0.835737813,0.066993276,0.168410568
28,56,0.5,0.726170647,0.864570141,0.089980557,0.237839305
29,58,0.5,0.743240607,0.806285024,0.095245806,0.235393652
30,60,0.5,0.751939642,0.783876097,0.059975647,0.158824441
31,62,0.5,0.74695338,0.790213788,0.134967275,0.348354892
32,64,0.5,0.75346297,0.772565246,0.098822377,0.283793167
33,66,0.5,0.751102066,0.774666691,0.008131385,0.025028523
34,68,0.5,0.756999409,0.767753959,0.104516815,0.303006037
35,70,0.5,0.769038987,0.735516679,0.045788368,0.155082741
36,72,0.5,0.762127745,0.739960229,0.102528093,0.242774014
37,74,0.5,0.776969039,0.709588695,0.037782114,0.108133371
38,76,0.5,0.762847757,0.747390354,0.09440166,0.260226993
39,78,0.5,0.784046817,0.687330556,0.059789781,0.182262929
40,80,0.5,0.787808585,0.674070275,0.051748832,0.165888968
41,82,0.5,0.770895374,0.729055679,0.132668574,0.40157396
42,84,0.5,0.795023513,0.651877832,0.03420968,0.085090401
43,86,0.5,0.794034088,0.650864911,0.042295183,0.104279859
44,88,0.5,0.785428095,0.683561945,0.081751464,0.260978572
45,90,0.5,0.789444566,0.665879714,0.059703431,0.180531693
46,92,0.5,0.788729417,0.66298219,0.04435547,0.147661716
47,94,0.5,0.795283115,0.655278409,0.044666506,0.135204257
48,96,0.5,0.793759799,0.659938276,0.062925976,0.200706199
49,98,0.5,0.80598551,0.620559072,0.039782472,0.12365019
50,100,0.5,0.800925732,0.641293776,0.033253662,0.11829242
0,0,0.63,0.09682112,2.603591394,0.036625468,0.447181235
1,2,0.63,0.118372844,2.32993083,0.043751954,0.063546047
2,4,0.63,0.152610697,2.285295248,0.199242296,0.111624759
3,6,0.63,0.127115989,2.26913023,0.128717624,0.078292841
4,8,0.63,0.268152431,2.195291328,0.07918683,0.124522882
